Sector,Sector_name,Institution,State,Tuition
1,"4-year, public",Eastern Michigan University,MI,9663
1,"4-year, public",James Madison University,VA,9662
1,"4-year, public",University of South Carolina-Aiken,SC,9602
1,"4-year, public",Eastern Connecticut State University,CT,9560
1,"4-year, public",California University of Pennsylvania,PA,9556
1,"4-year, public",Mansfield University of Pennsylvania,PA,9526
1,"4-year, public",University of Oklahoma-Norman Campus,OK,9495
1,"4-year, public",Indiana University of Pennsylvania-Main Campus,PA,9470
1,"4-year, public",University of Toledo,OH,9463
1,"4-year, public",Prairie View A & M University,TX,9461
1,"4-year, public",University of Missouri-Columbia,MO,9433
1,"4-year, public",University of Maryland-College Park,MD,9427
1,"4-year, public",University of South Carolina-Beaufort,SC,9404
1,"4-year, public",University of Wisconsin-Milwaukee,WI,9391
1,"4-year, public",Governors State University,IL,9386
1,"4-year, public",East Stroudsburg University of Pennsylvania,PA,9376
1,"4-year, public",Radford University,VA,9360
1,"4-year, public",University of North Texas,TX,9346
1,"4-year, public",Ball State University,IN,9344
1,"4-year, public",Northern Michigan University,MI,9324
1,"4-year, public",Slippery Rock University of Pennsylvania,PA,9309
1,"4-year, public",Lock Haven University,PA,9276
1,"4-year, public",Fitchburg State University,MA,9260
1,"4-year, public",Edinboro University of Pennsylvania,PA,9256
1,"4-year, public",University of Maine at Farmington,ME,9217
1,"4-year, public",University of Alabama in Huntsville,AL,9158
1,"4-year, public",Southern Connecticut State University,CT,9157
1,"4-year, public",West Chester University of Pennsylvania,PA,9144
1,"4-year, public",Western Kentucky University,KY,9140
1,"4-year, public",Oregon State University,OR,9122
1,"4-year, public",Western Oregon University,OR,9105
1,"4-year, public",Kutztown University of Pennsylvania,PA,9099
1,"4-year, public",Alabama A & M University,AL,9096
1,"4-year, public",Cheyney University of Pennsylvania,PA,9090
1,"4-year, public",Auburn University at Montgomery,AL,9080
1,"4-year, public",Western Connecticut State University,CT,9077
1,"4-year, public",Kansas State University,KS,9034
1,"4-year, public",University of Wisconsin-Stout,WI,9025
1,"4-year, public",Central Washington University,WA,9017
1,"4-year, public",Massachusetts College of Liberal Arts,MA,8975
1,"4-year, public",Old Dominion University,VA,8970
1,"4-year, public",Western Washington University,WA,8965
1,"4-year, public",Missouri University of Science and Technology,MO,8961
1,"4-year, public",Georgia College and State University,GA,8960
1,"4-year, public",Texas State University,TX,8950
1,"4-year, public",California Polytechnic State University-San Luis Obispo,CA,8918
1,"4-year, public",Bloomsburg University of Pennsylvania,PA,8914
1,"4-year, public",Indiana University-Purdue University-Indianapolis,IN,8909
1,"4-year, public",Stephen F Austin State University,TX,8892
1,"4-year, public",The University of Texas at Arlington,TX,8878
1,"4-year, public",Central Connecticut State University,CT,8877
1,"4-year, public",University at Buffalo,NY,8870
1,"4-year, public",Northeastern Illinois University,IL,8868
1,"4-year, public",The University of Virginia's College at Wise,VA,8868
1,"4-year, public",Northern Kentucky University,KY,8856
1,"4-year, public",University of Missouri-St Louis,MO,8844
1,"4-year, public",University of Wisconsin-La Crosse,WI,8795
1,"4-year, public",Louisiana State University and Agricultural & Mechanical College,LA,8750
1,"4-year, public",Winona State University,MN,8750
1,"4-year, public",University of Wisconsin-Eau Claire,WI,8743
1,"4-year, public",Wright State University-Main Campus,OH,8730
1,"4-year, public",Alabama State University,AL,8720
1,"4-year, public",Saginaw Valley State University,MI,8691
1,"4-year, public",The Evergreen State College,WA,8682
1,"4-year, public",Westfield State University,MA,8682
1,"4-year, public",Salem State University,MA,8646
1,"4-year, public",Lewis-Clark State College,ID,8624
1,"4-year, public",SUNY at Binghamton,NY,8620
1,"4-year, public",University of Memphis,TN,8619
1,"4-year, public",Georgia State University,GA,8618
1,"4-year, public",University of Houston,TX,8605
1,"4-year, public",Towson University,MD,8590
1,"4-year, public",Salisbury University,MD,8560
