Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude,Longitude
567,579,511,USA,417,University of Idaho,190,469,664,367,218,44.42,655,42.04325,-87.70354
42,349,511,USA,257,University of Houston,80,156,310,367,218,47.83,184,47.2256,-122.5065
435,457,368,USA,213,University of Hawaii at Manoa,156,490,448,367,153,44.82,488,29.72015,-95.34212
188,256,234,USA,132,University of Georgia,86,82,181,93,172,47.5,198,32.98414,-96.75425
276,59,46,USA,73,University of Florida,38,5,37,214,96,54.18,60,32.81496,-83.733
101,590,511,USA,522,University of Denver,142,760,901,312,218,45.08,428,29.63542,-82.35269
337,292,234,USA,304,University of Delaware,109,120,272,318,135,46.21,281,42.52856,-92.48527
90,781,511,USA,818,University of Dayton,147,675,988,348,218,44.99,445,38.77979,-75.16286
259,190,197,USA,193,University of Connecticut,90,186,168,296,218,47.06,218,39.73918,-84.17901
567,66,128,USA,110,University of Colorado Denver,63,72,135,367,140,49.48,127,41.80581,-72.24488
67,74,45,USA,38,University of Colorado Boulder,37,133,96,80,31,54.62,54,39.68848,-104.97901
86,127,128,USA,171,University of Cincinnati,72,263,150,188,218,48.56,157,40.00825,-105.26811
14,22,12,USA,16,University of Chicago,6,141,17,11,8,90.7,8,39.14846,-84.47627
501,381,511,USA,386,University of Central Florida,135,159,381,367,218,45.18,394,39.93912,-84.38762
567,99,115,USA,49,"University of California, Santa Cruz",71,183,243,175,100,48.59,154,28.60011,-81.20219
280,55,46,USA,59,"University of California, Santa Barbara",40,77,111,133,29,53.63,64,38.53455,-121.75206
567,11,15,USA,7,"University of California, San Francisco",19,56,22,367,20,63.69,26,38.53455,-121.75206
567,15,15,USA,5,"University of California, San Diego",16,17,16,36,19,66.59,21,38.53455,-121.75206
567,169,161,USA,113,"University of California, Riverside",89,194,209,247,218,47.13,214,38.53455,-121.75206
567,906,812,USA,540,"University of California, Merced",229,491,899,367,218,44.09,936,38.53455,-121.75206
27,6,8,USA,14,"University of California, Los Angeles",12,9,6,28,13,76.91,15,38.53455,-121.75206
