Alumni Employment,Broad Impact,Citations,Country,Influence,institution,National Rank,Patents,Publications,Quality Of Education,Quality Of Faculty,Score,world_rank,Latitude (generated),Longitude (generated)
364,381,264,USA,382,"University of Nevada, Reno",148,708,542,367,218,44.93,454,40.0792,-98.8164
448,622,812,USA,473,"University of Nevada, Las Vegas",195,861,640,367,218,44.38,687,40.0792,-98.8164
207,311,234,USA,262,University of Nebraska–Lincoln,117,456,278,165,218,45.8,314,40.0792,-98.8164
365,396,428,USA,606,University of Nebraska Omaha,157,871,704,367,218,44.81,489,40.0792,-98.8164
567,344,368,USA,399,University of Nebraska Medical Center,136,253,463,367,218,45.16,399,40.0792,-98.8164
567,503,428,USA,315,University of Montana - Missoula,174,702,713,353,218,44.54,585,40.0792,-98.8164
371,715,428,USA,524,University of Missouri–St. Louis,203,634,897,367,218,44.3,748,40.0792,-98.8164
480,471,645,USA,447,University of Missouri–Kansas City,169,687,634,311,218,44.61,554,40.0792,-98.8164
88,242,161,USA,226,University of Missouri–Columbia,84,150,222,250,98,47.59,194,40.0792,-98.8164
567,671,511,USA,504,University of Mississippi Medical Center,205,871,775,367,218,44.29,754,40.0792,-98.8164
567,424,428,USA,851,University of Mississippi - Oxford Campus,164,611,508,367,218,44.7,522,40.0792,-98.8164
130,28,31,USA,40,"University of Minnesota, Twin Cities",31,59,23,63,63,55.51,48,40.0792,-98.8164
17,14,6,USA,20,"University of Michigan, Ann Arbor",15,12,3,24,140,68.36,19,40.0792,-98.8164
241,112,82,USA,130,University of Miami,64,73,159,367,218,49.09,137,40.0792,-98.8164
382,741,511,USA,640,University of Memphis,202,394,782,367,218,44.3,746,40.0792,-98.8164
567,122,234,USA,76,University of Massachusetts Medical School,79,143,296,367,80,47.85,183,40.0792,-98.8164
528,946,321,USA,943,University of Massachusetts Lowell,222,304,936,367,218,44.15,884,40.0792,-98.8164
429,796,428,USA,698,University of Massachusetts Boston,215,824,846,367,218,44.21,825,40.0792,-98.8164
141,200,212,USA,191,University of Massachusetts Amherst,91,356,198,212,159,47.05,219,40.0792,-98.8164
210,67,39,USA,47,"University of Maryland, College Park",45,280,58,68,43,52.72,72,40.0792,-98.8164
567,402,428,USA,391,"University of Maryland, Baltimore County",158,423,587,367,218,44.8,493,40.0792,-98.8164
567,116,197,USA,112,"University of Maryland, Baltimore",77,180,125,367,218,48.05,175,40.0792,-98.8164
567,637,368,USA,427,"University of Maine, Orono",194,346,788,345,218,44.4,668,40.0792,-98.8164
484,300,368,USA,405,University of Louisville,114,105,338,367,218,45.97,298,40.0792,-98.8164
290,231,321,USA,216,University of Kentucky,103,447,182,332,218,46.37,267,40.0792,-98.8164
91,235,161,USA,161,University of Kansas,85,127,212,228,218,47.52,196,40.0792,-98.8164
296,112,115,USA,83,University of Iowa,67,121,103,233,167,49.01,141,40.0792,-98.8164
75,74,42,USA,48,University of Illinois at Urbana–Champaign,24,65,40,33,21,59.94,33,40.0792,-98.8164
541,179,287,USA,196,University of Illinois at Chicago,88,129,126,367,218,47.39,203,40.0792,-98.8164
567,579,511,USA,417,University of Idaho,190,469,664,367,218,44.42,655,40.0792,-98.8164
42,349,511,USA,257,University of Houston,80,156,310,367,218,47.83,184,40.0792,-98.8164
435,457,368,USA,213,University of Hawaii at Manoa,156,490,448,367,153,44.82,488,40.0792,-98.8164
188,256,234,USA,132,University of Georgia,86,82,181,93,172,47.5,198,40.0792,-98.8164
276,59,46,USA,73,University of Florida,38,5,37,214,96,54.18,60,40.0792,-98.8164
101,590,511,USA,522,University of Denver,142,760,901,312,218,45.08,428,40.0792,-98.8164
337,292,234,USA,304,University of Delaware,109,120,272,318,135,46.21,281,40.0792,-98.8164
90,781,511,USA,818,University of Dayton,147,675,988,348,218,44.99,445,40.0792,-98.8164
259,190,197,USA,193,University of Connecticut,90,186,168,296,218,47.06,218,40.0792,-98.8164
567,66,128,USA,110,University of Colorado Denver,63,72,135,367,140,49.48,127,40.0792,-98.8164
67,74,45,USA,38,University of Colorado Boulder,37,133,96,80,31,54.62,54,40.0792,-98.8164
86,127,128,USA,171,University of Cincinnati,72,263,150,188,218,48.56,157,40.0792,-98.8164
14,22,12,USA,16,University of Chicago,6,141,17,11,8,90.7,8,40.0792,-98.8164
501,381,511,USA,386,University of Central Florida,135,159,381,367,218,45.18,394,40.0792,-98.8164
567,99,115,USA,49,"University of California, Santa Cruz",71,183,243,175,100,48.59,154,40.0792,-98.8164
280,55,46,USA,59,"University of California, Santa Barbara",40,77,111,133,29,53.63,64,40.0792,-98.8164
567,11,15,USA,7,"University of California, San Francisco",19,56,22,367,20,63.69,26,40.0792,-98.8164
567,15,15,USA,5,"University of California, San Diego",16,17,16,36,19,66.59,21,40.0792,-98.8164
567,169,161,USA,113,"University of California, Riverside",89,194,209,247,218,47.13,214,40.0792,-98.8164
567,906,812,USA,540,"University of California, Merced",229,491,899,367,218,44.09,936,40.0792,-98.8164
27,6,8,USA,14,"University of California, Los Angeles",12,9,6,28,13,76.91,15,40.0792,-98.8164
567,54,68,USA,51,"University of California, Irvine",52,162,78,227,44,51.51,89,40.0792,-98.8164
227,52,35,USA,33,"University of California, Davis",36,62,29,54,59,54.85,53,40.0792,-98.8164
21,7,4,USA,4,"University of California, Berkeley",5,29,10,5,6,92.25,7,40.0792,-98.8164
567,344,812,USA,565,University of Arkansas for Medical Sciences,143,340,501,367,218,45.08,429,40.0792,-98.8164
345,520,645,USA,571,University of Arkansas - Fayetteville,168,409,517,204,218,44.62,550,40.0792,-98.8164
55,49,31,USA,39,University of Arizona,42,235,74,139,87,53.26,68,40.0792,-98.8164
